GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PayMyBuddyApp,com.PayMyBuddy.service,BuddyService,2,50,1,1,1,13,1,6,0,6
PayMyBuddyApp,com.PayMyBuddy.service,TransactionService,10,3,0,0,2,1,2,1,2,1
PayMyBuddyApp,com.PayMyBuddy.controller,LoginController,0,5,0,0,0,2,0,2,0,2
PayMyBuddyApp,com.PayMyBuddy.controller,BuddyController,0,120,1,11,0,27,1,9,0,4
PayMyBuddyApp,com.PayMyBuddy.controller,RegistrationController,0,77,0,16,0,21,0,11,0,3
PayMyBuddyApp,com.PayMyBuddy.controller,TransactionController,0,186,4,22,0,36,4,13,0,4
PayMyBuddyApp,com.PayMyBuddy,PayMyBuddyAppApplication,5,4,0,0,2,2,1,2,1,2
PayMyBuddyApp,com.PayMyBuddy.model,Buddy,21,96,1,1,9,35,5,18,4,18
PayMyBuddyApp,com.PayMyBuddy.model,Transaction,10,28,0,0,4,13,3,8,3,8
PayMyBuddyApp,com.PayMyBuddy.config,CustomUserDetailsService,0,34,0,0,0,6,0,3,0,3
PayMyBuddyApp,com.PayMyBuddy.config,SpringSecurityConfig,0,266,0,0,0,37,0,8,0,8
